Date,Open,High,Low,Close
01-Dec-15,1909.47,1919.85,1905.45,1910.23
02-Dec-15,1911.01,1917,1898.92,1910.14
03-Dec-15,1911.21,1916.71,1893.98,1897.27
04-Dec-15,1895.89,1895.89,1861.26,1863.56
07-Dec-15,1871.69,1873.5,1859,1864.98
08-Dec-15,1861.99,1867.66,1828.36,1831.38
09-Dec-15,1833.01,1837.16,1815.07,1819.07
10-Dec-15,1818.29,1839.68,1817.08,1837.87
11-Dec-15,1844.16,1844.9,1802.3,1811.43
14-Dec-15,1809.74,1826.23,1801.99,1817.79
15-Dec-15,1818.17,1822.97,1807.8,1820.02
16-Dec-15,1828.89,1856.23,1828.89,1843.72
17-Dec-15,1854.88,1873.37,1846.51,1870.36
18-Dec-15,1871.58,1881.91,1864.96,1872.83
21-Dec-15,1872.3,1896.02,1871.98,1893.59
22-Dec-15,1898.07,1905.93,1884.53,1886.65
23-Dec-15,1891.93,1914,1891.6,1911.15
24-Dec-15,1920.52,1927.32,1915.04,1924
28-Dec-15,1928.73,1945.25,1928.47,1941.88
29-Dec-15,1947.19,1959.65,1935.07,1938.45
30-Dec-15,1943.66,1954.14,1941,1943.6
31-Dec-15,1948.77,1960.68,1938.59,1957.68
01-Jan-16,1958.68,1980.48,1952.88,1975.14
04-Jan-16,1973.91,2002.32,1952.28,1965.02
05-Jan-16,1968.68,1986.3,1957.75,1970.78
06-Jan-16,1970.8,1981.98,1952.41,1959.17
07-Jan-16,1943.79,1944.92,1888.51,1891.56
08-Jan-16,1901.46,1934.93,1901.06,1930.55
11-Jan-16,1915.72,1938.65,1895.67,1926.94
12-Jan-16,1934.24,1955.67,1916.78,1925.52
13-Jan-16,1937.1,1944.58,1864.25,1904.15
14-Jan-16,1889.13,1900.53,1864.02,1878.94
15-Jan-16,1882.96,1891.65,1802.01,1806.09
18-Jan-16,1803.41,1810.21,1767.32,1774.06
19-Jan-16,1779.3,1816.2,1778.97,1796.6
20-Jan-16,1779.84,1779.84,1724.96,1753.69
21-Jan-16,1763.85,1788.17,1735.46,1746.93
22-Jan-16,1759.72,1788.83,1756.9,1779.59
25-Jan-16,1790.89,1798.91,1765.89,1772.47
27-Jan-16,1778.67,1806.47,1777.59,1801.05
28-Jan-16,1814.81,1821.26,1805.59,1808.84
29-Jan-16,1812.37,1843.32,1811.16,1838.42
01-Feb-16,1840.02,1850.85,1822.61,1828.39
02-Feb-16,1832.69,1841.12,1775.42,1784.07
03-Feb-16,1755.07,1756.16,1704.13,1709.8
04-Feb-16,1728.42,1740.55,1703.39,1724.17
05-Feb-16,1733.28,1737.64,1714.43,1733.63
08-Feb-16,1736.93,1752.56,1714.34,1717.7
09-Feb-16,1703.39,1731.18,1694.36,1714.7
